Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,11870,TEST PURE CHOCOLATE SWEET & MILK,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 09:40:36
,11871,ROYCE ONE OF A KIND GIFT BAG,1,BOX,1,UNIT,1.0,Shubham,2025-03-26 18:19:33
,11880,TEST ROYCE RED ROSETTE BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-01 10:43:27
,11881,TEST ROYCE PURE CHOCOLATE SWEET & MILK.,1,PIECE,1,UNIT,1.0,admin1,2025-08-22 18:00:02
,11882,TEST ROYCE PURE CHOCOLATE VENEZUELA BITTER & GHANA SWEET.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:19:40
,11883,TEST ROYCE PURE CHOCOLATE CREAMY MILK & WHITE.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:19:20
,11884,TEST ROYCE CHOCOLATE WAFERS STRAWBERRY CREAM.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:19:00
,11885,TEST ROYCE CHOCOLATE WAFERS HAZEL CREAM.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:14:50
,11886,TEST ROYCE CHOCOLATE WAFERS TIRAMISU.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:18:36
,11887,TEST ROYCE PRAFEUILLE CHOCOLATE CARAMEL.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:18:18
,11888,TEST ROYCE PRAFEUILLE CHOCOLAT BERRY CUBE.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:17:33
,11889,TEST ROYCE AROMA CHOCOLATE.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:16:17
,11890,TEST ROYCE COFFEE CHOCOLATE.,1,PIECE,1,UNIT,1.0,admin1,2025-04-01 16:16:56
